Title,Publication,Bit,Quantizer,Finetune,Task,Special
ActNN: Reducing Training Memory Footprint via 2-Bit Activation Compressed Training,ICML 2021,MP,,,C,
Communication-Efficient Distributed Optimization with Quantized Preconditioners,ICML 2021,,PQ,,,
Differentiable Dynamic Quantization with Mixed Precision and Adaptive Resolution,ICML 2021,MP,,QAT,C,
Double-Win Quant: Aggressively Winning Robustness of Quantized Deep Neural Networks via Random Precision Training and Inference[PyTorch]:star:3,ICML 2021,MP,,,C,
Estimation and Quantization of Expected Persistence Diagrams,ICML 2021,,,,,
HAWQ-V3: Dyadic Neural Network Quantization[PyTorch]:star:193,ICML 2021,MP,Linear,,C,
I-BERT: Integer-only BERT Quantization,ICML 2021,Uni,,,N,
Quantization Algorithms for Random Fourier Features,ICML 2021,,,,,
Soft then Hard: Rethinking the Quantization in Neural Image Compression,ICML 2021,,,,,
Training Quantized Neural Networks to Global Optimality via Semidefinite Programming,ICML 2021,,,,,
Vector Quantized Models for Planning,ICML 2021,,,,,
Distribution-aware Adaptive Multi-bit Quantization,CVPR 2021,,,,,
Layer importance estimation with imprinting for neural network quantization,CVPR 2021,,,,,
Adaptive binary-ternary quantization,CVPR 2021,,,,,
AQD: Towards Accurate Quantized Object Detection[PyTorch]:star:11,CVPR 2021,,,,,
Automated Log-Scale Quantization for Low-Cost Deep Neural Networks,CVPR 2021,T,Log,QAT,C/S,
Binary TTC: A Temporal Geofence for Autonomous Navigation,CVPR 2021,,,,,
Diversifying Sample Generation for Accurate Data-Free Quantization,CVPR 2021,,,,,
Generative Zero-shot Network Quantization,CVPR 2021,Uni,OptN,QAT,C,
Improving Accuracy of Binary Neural Networks using Unbalanced Activation Distribution,CVPR 2021,,,,,
Is In-Domain Data Really Needed? A Pilot Study on Cross-Domain Calibration for Network Quantization,CVPR 2021,Uni,OptN,PTQ,C/O/S,
Learnable Companding Quantization for Accurate Low-Bit Neural Networks,CVPR 2021,,,,,
Network Quantization With Element-Wise Gradient Scaling,CVPR 2021,,,,,
Optimal Quantization Using Scaled Codebook,CVPR 2021,,,,,
"Permute, Quantize, and Fine-tune: Efficient Compression of Neural Networks[PyTorch]:star:109",CVPR 2021,,,,,
QPP: Real-Time Quantization Parameter Prediction for Deep Neural Networks,CVPR 2021,Uni,LQ,PTQ,C/O/S,
Zero-shot Adversarial Quantization,CVPR 2021,Uni,Linear,PTQ,C/O,
iVPF: Numerical Invertible Volume Preserving Flow for Efficient Lossless Compression,CVPR 2021,,,,,
HAO: Hardware-aware neural Architecture Optimization for Efficient Inference,FCCM 2021,,,,,
Bipointnet: Binary neural network for point clouds,ICLR 2021,,,,,
Sparse quantized spectral clustering,ICLR 2021,,,,,
Neural gradients are near-lognormal: improved quantized and sparse training,ICLR 2021,,,,,
Multiprize lottery ticket hypothesis: Finding accurate binary neural networks by pruning a randomly weighted network,ICLR 2021,,,,,
High-capacity expert binary networks,ICLR 2021,,,,,
BRECQ: Pushing the Limit of Post-Training Quantization by Block Reconstruction[PyTorch]:star:58,ICLR 2021,Uni/MP,Linear,PTQ,C/O,
BSQ: Exploring Bit-Level Sparsity for Mixed-Precision Neural Network Quantization[PyTorch]:star:9,ICLR 2021,MP,Linear,QAT,C,
Degree-Quant: Quantization-Aware Training for Graph Neural Networks[PyTorch]:star:17,ICLR 2021,Uni,Linear,QAT,C,
Incremental few-shot learning via vector quantization in deep embedded space,ICLR 2021,,,,,
Simple Augmentation Goes a Long Way: ADRL for DNN Quantization,ICLR 2021,MP,Linear,QAT,C,
Training with Quantization Noise for Extreme Model Compression,ICLR 2021,Uni,PQ,QAT,C,
CoDeNet: Algorithm-hardware Co-design for Deformable Convolution,FPGA 2021,,,,,
A Survey of Quantization Methods for Efficient Neural Network Inference:fire:47,BLPCV 2021,,,,,
Opq: Compressing deep neural networks with one-shot pruning quantization,AAAI 2021,,,,,
A white paper on neural network quantization,arXiv 2021,,,,,
Kdlsq-bert: A quantized bert combining knowledge distillation with learned step size quantization,arXiv 2021,,,,,
Pruning and quantization for deep neural network acceleration: A survey,arXiv 2021,,,,,
Confounding tradeoffs for neural network quantization,arXiv 2021,,,,,
Dynamic precision analog computing for neural networks,arXiv 2021,,,,,
Boolnet: Minimizing the energy consumption of binary neural networks,arXiv 2021,,,,,
Quantization-aware pruning for efficient low latency neural network inference,arXiv 2021,,,,,
Any-Precision Deep Neural Networks[PyTorch]:star:33,arXiv 2021,MP,,,,
Phoenix: A Low-Precision Floating-Point Quantization Oriented Architecture for Convolutional Neural Networks,TVLSI 2020,,,,,
Hierarchical Binary CNNs for Landmark Localization with Limited Resources,TPAMI 2020,B,,,,
Deep Neural Network Compression by In-Parallel Pruning-Quantization,TPAMI 2020,,,,,
Towards Efficient U-Nets: A Coupled and Quantized Approach,TPAMI 2020,,,,,
SIMBA: A Skyrmionic In-Memory Binary Neural Network Accelerator,TMAG 2020,B,,,,
Design of High Robustness BNN Inference Accelerator Based on Binary Memristors,TED 2020,B,,,,
A Resource-Efficient Inference Accelerator for Binary Convolutional Neural Networks,TCSII 2020,,,,,
"Qsparse-local-SGD: Distributed SGD with Quantization, Sparsification, and Local Computations:fire:126",JSAIT 2020,,,,,Gradient
An Energy-Efficient and High Throughput in-Memory Computing Bit-Cell With Excellent Robustness Under Process Variations for Binary Neural Network,ACCESS 2020,B,,,,
CP-NAS: Child-Parent Neural Architecture Search for Binary Neural Networks,IJCAI 2020,B,,,,
Towards Fully 8-bit Integer Inference for the Transformer Model,IJCAI 2020,,,,,
Soft Threshold Ternary Networks,IJCAI 2020,,,,,
Overflow Aware Quantization: Accelerating Neural Network Inference by Low-bit Multiply-Accumulate Operations,IJCAI 2020,,,,,
Direct Quantization for Training Highly Accurate Low Bit-width Deep Neural Networks,IJCAI 2020,,,,,
Fully Nested Neural Network for Adaptive Compression and Quantization,IJCAI 2020,,,,,
Path sample-analytic gradient estimators for stochastic binary networks,NeurIPS 2020,,,,,
Efficient exact verification of binarized neural networks,NeurIPS 2020,,,,,
Comparing fisher information regularization with distillation for dnn quantization,NeurIPS 2020,,,,,
Position-based scaled gradient for model quantization and sparse training,NeurIPS 2020,,,,,
Flexor: Trainable fractional quantization,NeurIPS 2020,,,,,
Adaptive Gradient Quantization for Data-Parallel SGD[PyTorch]:star:13,NeurIPS 2020,T,,QAT,C,
Bayesian Bits: Unifying Quantization and Pruning,NeurIPS 2020,MP,,QAT/PTQ,C,
"Distribution-free binary classification: prediction sets, confidence intervals and calibration",NeurIPS 2020,B,,,,
FleXOR: Trainable Fractional Quantization,NeurIPS 2020,,,,,
HAWQ-V2: Hessian Aware trace-Weighted Quantization of Neural Networks:fire:60,NeurIPS 2020,MP,Linear,QAT,C/O,
Hierarchical Quantized Autoencoders[PyTorch]:star:22,NeurIPS 2020,,Linear,,Image Compression,
Position-based Scaled Gradient for Model Quantization and Pruning[PyTorch]:star:14,NeurIPS 2020,Uni,,PTQ,C,
Pushing the Limits of Narrow Precision Inferencing at Cloud Scale with Microsoft Floating Point,NeurIPS 2020,,,,,
Quantized Variational Inference[PyTorch],NeurIPS 2020,,,,,
Robust Quantization: One Model to Rule Them All,NeurIPS 2020,Uni,Linear,QAT/PTQ,C,
Rotated Binary Neural Network[PyTorch]:star:63,NeurIPS 2020,B,,,C,
Searching for Low-Bit Weights in Quantized Neural Networks[PyTorch]:star:20,NeurIPS 2020,,,,,
Ultra-Low Precision 4-bit Training of Deep Neural Networks,NeurIPS 2020,Uni,,QAT,C,
Universally Quantized Neural Compression,NeurIPS 2020,,,,,
TernaryBERT: Distillation-aware Ultra-low Bit BERT,EMNLP 2020,T,OptN,QAT,N,
DFQF: Data Free Quantization-aware Fine-tuning,ACML 2020,Uni,Linear,QAT,C,
One weight bitwidth to rule them all,ECCV 2020,,,,,
DBQ: A Differentiable Branch Quantizer for Lightweight Deep Neural Networks,ECCV 2020,MP,,,C,
Deep Transferring Quantization[PyTorch]:star:15,ECCV 2020,Uni,,,C,
Differentiable Joint Pruning and Quantization for Hardware Efficiency,ECCV 2020,MP,,,C,
Finding Non-Uniform Quantization Schemes using Multi-Task Gaussian Processes,ECCV 2020,MP,PQ,QAT,C,
Generative Low-bitwidth Data Free Quantization[PyTorch]:star:23,ECCV 2020,Uni,Linear,QAT,C,
HMQ: Hardware Friendly Mixed Precision Quantization Block for CNNs[PyTorch]:star:37,ECCV 2020,MP,LQ,QAT,C,
PAMS: Quantized Super-Resolution via Parameterized Max Scale,ECCV 2020,Uni,,,C,
Post-Training Piecewise Linear Quantization for Deep Neural Networks,ECCV 2020,T/Uni,Linear,PTQ,C,
QuEST: Quantized Embedding Space for Transferring Knowledge,ECCV 2020,,,,,
Quantization Guided JPEG Artifact Correction,ECCV 2020,,,,,
Search What You Want: Barrier Panelty NAS for Mixed Precision Quantization,ECCV 2020,MP,Linear,,C/O,
Task-Aware Quantization Network for JPEG Image Compression,ECCV 2020,,,,,
End to End Binarized Neural Networks for Text Classification,ACL 2020,B,,,,
Differentiable Product Quantization for End-to-End Embedding Compression[PyTorch]:star:38,ICML 2020,MP,PQ,QAT,N,
Don’t Waste Your Bits! Squeeze Activations and Gradients for Deep Neural Networks via TinyScript,ICML 2020,MP,,,C,
Moniqua: Modulo Quantized Communication in Decentralized SGD,ICML 2020,B/T,,,C,
Online Learned Continual Compression with Adaptive Quantization Modules[PyTorch]:star:19,ICML 2020,,,,,
Towards Accurate Post-training Network Quantization via Bit-Split and Stitching[PyTorch]:star:23,ICML 2020,T/Uni,OptN,PTQ,C/O,
Training Binary Neural Networks through Learning with Noisy Supervision,ICML 2020,B,,QAT,C,
Up or Down? Adaptive Rounding for Post-Training Quantization,ICML 2020,,,PTQ,,
Variational Bayesian Quantization[PyTorch]:star:19,ICML 2020,,,,,
Compressing deep neural networks on FPGAs to binary and ternary precision with HLS4ML,MLST 2020,,,,,
Balanced binary neural networks with gated residual,ICASSP 2020,,,,,
A Spatial RNN Codec for End-To-End Image Compression,CVPR 2020,,,,,
"APQ: Joint Search for Network Architecture, Pruning and Quantization Policy",CVPR 2020,MP,Linear,QAT,C,
AdaBits: Neural Network Quantization With Adaptive Bit-Widths,CVPR 2020,MP,Linear,PTQ,C,
Adaptive Loss-Aware Quantization for Multi-Bit Networks,CVPR 2020,MP,LQ,QAT,C,
Automatic Neural Network Compression by Sparsity-Quantization Joint Learning: A Constrained Optimization-Based Approach,CVPR 2020,MP,OptN,PTQ,C,
Central Similarity Quantization for Efficient Image and Video Retrieval[PyTorch]:star:161,CVPR 2020,Uni,Linear,QAT,C,
Data-Free Network Quantization With Adversarial Knowledge Distillation,CVPR 2020,Uni,Linear,QAT,C,
Forward and Backward Information Retention for Accurate Binary Neural Networks[PyTorch]:star:133,CVPR 2020,,,,,
Generalized Product Quantization Network for Semi-Supervised Image Retrieval,CVPR 2020,MP,LQ,QAT,C,
LSQ+: Improving low-bit quantization through learnable offsets and better initialization,CVPR 2020,MP,LQ,QAT,C,
M-LVC: Multiple Frames Prediction for Learned Video Compression[PyTorch]:star:51,CVPR 2020,,,,,
OctSqueeze: Octree-Structured Entropy Model for LiDAR Compression,CVPR 2020,,,,,
Structured Compression by Weight Encryption for Unstructured Pruning and Quantization,CVPR 2020,T,OptN,QAT,C,
Training Quantized Neural Networks With a Full-Precision Auxiliary Module,CVPR 2020,,,,,
ZeroQ: A Novel Zero Shot Quantization Framework:fire:106[PyTorch]:star:188,CVPR 2020,MP,Linear,PTQ,C/O,
Neural network quantization with adaptive bitwidths,CVPR 2020,,,,,
BNNsplit: Binarized Neural Networks for embedded distributed FPGA-based computing systems,DATE 2020,B,,,,
PhoneBit: Efficient GPU-Accelerated Binary Neural Network Inference Engine for Mobile Phones,DATE 2020,B,,,,
OrthrusPE: Runtime Reconfigurable Processing Elements for Binary Neural Networks,DATE 2020,B,,,,
A Novel In-DRAM Accelerator Architecture for Binary Neural Network,COOLCHIPS 2020,,,,,
BNN Pruning: Pruning Binary Neural Network Guided by Weight Flipping Frequency,ISQED 2020,B,,,,
Training binary neural networks with real-to-binary convolutions:fire:66,ICLR 2020,,,,,
Binaryduo: Reducing gradient mismatch in binary activation network by coupling binary activations,ICLR 2020,,,,,
Dms: Differentiable dimension search for binary neural networks,ICLR 2020,,,,,
Once-for-all: Train one network and specialize it for efficient deployment,ICLR 2020,,,,,
Additive Powers-of-Two Quantization: An Efficient Non-uniform Discretization for Neural Networks[PyTorch]:star:150,ICLR 2020,MP,,,C,
And the Bit Goes Down: Revisiting the Quantization of Neural Networks:fire:64[PyTorch]:star:619,ICLR 2020,MP,PQ,,C,
AutoQ: Automated Kernel-Wise Neural Network Quantization,ICLR 2020,MP,,,C,
FSNet: Compression of Deep Convolutional Neural Networks by Filter Summary,ICLR 2020,Uni,Linear,PTQ,C/O,
Gradient $\ell_1$ Regularization for Quantization Robustness,ICLR 2020,Uni,Linear,,C,
Learning Hierarchical Discrete Linguistic Units from Visually-Grounded Speech,ICLR 2020,MP,PQ,,Speech,
Linear Symmetric Quantization of Neural Networks for Low-precision Integer Hardware,ICLR 2020,B/T/Uni,LQ,QAT,C/O,
Mixed Precision DNNs: All you need is a good parametrization,ICLR 2020,MP,LQ,QAT,C,
Precision Gating: Improving Neural Network Efficiency with Dynamic Dual-Precision Activations,ICLR 2020,MP,,,C/N,
Shifted and Squeezed 8-bit Floating Point format for Low-Precision Training of Deep Neural Networks,ICLR 2020,Uni,,,C/N,
MuBiNN: Multi-Level Binarized Recurrent Neural Network for EEG Signal Classification,ISCS 2020,B,,,,
Riptide: Fast End-to-End Binarized Neural Networks,SysML 2020,,,,,
Adversarial Attack on Deep Product Quantization Network for Image Retrieval,AAAI 2020,,PQ,,Image Retrieval,
Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers[PyTorch]:star:3,AAAI 2020,,PQ,,C,
Embedding Compression with Isotropic Iterative Quantization,AAAI 2020,,,,N/Image Retrieval,
HLHLp: Quantized Neural Networks Training for Reaching Flat Minima in Loss Surface,AAAI 2020,B,Linear,QAT,C/N,
Indirect Stochastic Gradient Quantization and its Application in Distributed,AAAI 2020,,,,,
Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search,AAAI 2020,,,,,
Q-BERT: Hessian Based Ultra Low Precision Quantization of BERT:fire:125,AAAI 2020,MP,Linear,QAT,N,
Quantized Compressive Sampling of Stochastic Gradients for Efficient Communication in Distributed Deep Learning,AAAI 2020,,,,,
RTN: Reparameterized Ternary Network,AAAI 2020,,,,,
Towards Accurate Low Bit-width Quantization with Multiple Phase Adaptations,AAAI 2020,,,,,
Towards Accurate Quantization and Pruning via Data-free Knowledge Transfer,AAAI 2020,MP,LQ,PTQ,C,
Vector Quantization-Based Regularization for Autoencoders[PyTorch]:star:11,AAAI 2020,,,,,
Training Binary Neural Networks using the Bayesian Learning Rule,CoRR 2020,B,,,,
Integer quantization for deep learning inference: Principles and empirical evaluation,arXiv 2020,,,,,
Wrapnet: Neural net inference with ultra-low-resolution arithmetic,arXiv 2020,,,,,
Leveraging automated mixed-low-precision quantization for tiny edge microcontrollers,arXiv 2020,,,,,
Biqgemm: matrix multiplication with lookup table for binary-coding-based quantized dnns,arXiv 2020,,,,,
Near-lossless post-training quantization of deep neural networks via a piecewise linear approximation,arXiv 2020,,,,,
Efficient execution of quantized deep learning models: A compiler approach,arXiv 2020,,,,,
A statistical framework for low-bitwidth training of deep neural networks,arXiv 2020,,,,,
What is the state of neural network pruning?,arXiv 2020,,,,,
Language models are fewshot learners,arXiv 2020,,,,,
Shifted and squeezed 8-bit floating point format for low-precision training of deep neural networks,arXiv 2020,,,,,
Gradient l1 regularization for quantization robustness,arXiv 2020,,,,,
BinaryBERT: Pushing the Limit of BERT Quantization,arXiv 2020,B,,,,
Understanding Learning Dynamics of Binary Neural Networks via Information Bottleneck,arXiv 2020,B,,,,
Towards Lossless Binary Convolutional Neural Networks Using Piecewise Approximation,arXiv 2020,B,,,,
RPR: Random Partition Relaxation for Training; Binary and Ternary Weight Neural Networks,arXiv 2020,B,,,,
MeliusNet: Can Binary Neural Networks Achieve MobileNet-level Accuracy?,arXiv 2020,B,,,,
Accelerating Binarized Neural Networks via Bit-Tensor-Cores in Turing GPUs,arXiv 2020,B,,,,
Distillation Guided Residual Learning for Binary Convolutional Neural Networks,arXiv 2020,B,,,,
How Does Batch Normalization Help Binary Training?,arXiv 2020,B,,,,
Improving Post Training Neural Quantization: Layer-wise Calibration and Integer Programming[PyTorch],arXiv 2020,MP,OptN,PTQ,C/N,
A Product Engine for Energy-Efficient Execution of Binary Neural Networks Using Resistive Memories,VLSI-SoC 2019,,,,,
Deep Binary Reconstruction for Cross-Modal Hashing:fire:78,TMM 2019,,,,,
Compact Hash Code Learning With Binary Deep Neural Network,TM 2019,,,,,
Recursive Binary Neural Network Training Model for Efficient Usage of On-Chip Memory,TCSI 2019,,,,,
Xcel-RAM: Accelerating Binary Neural Networks in High-Throughput SRAM Compute Arrays,TCSI 2019,,,,,
An Energy-Efficient Reconfigurable Processor for Binary-and Ternary-Weight Neural Networks With Flexible Data Bit Width,JSSC 2019,,,,,
A Review of Binarized Neural Networks,Electronics 2019,,,,,
Binarized Neural Networks for Resource-Efficient Hashing with Minimizing Quantization Loss,IJCAI 2019,,,,,
Binarized Collaborative Filtering with Distilling Graph Convolutional Network,IJCAI 2019,,,,,
BiScaled-DNN: Quantizing Long-tailed Datastructures with Two Scale Factors for Deep Neural Networks,DAC 2019,,,,,
Latent Weights Do Not Exist: Rethinking Binarized Neural Network Optimization:fire:53,NeurIPS 2019,,,,,
A Mean Field Theory of Quantized Deep Networks: The Quantization-Depth Trade-Off[PyTorch]:star:12,NeurIPS 2019,,,,,Theory
Bit Efficient Quantization for Deep Neural Networks,NeurIPS 2019,Uni,Linear/Log,PTQ,C,
Communication-Efficient Distributed Learning via Lazily Aggregated Quantized Gradients,NeurIPS 2019,,,,,
Dimension-Free Bounds for Low-Precision Training,NeurIPS 2019,,Log,,,Theory
Double Quantization for Communication-Efficient Distributed Optimization,NeurIPS 2019,,,,,
Focused Quantization for Sparse CNNs,NeurIPS 2019,Uni,LQ,,C,
Generalization Error Analysis of Quantized Compressive Learning,NeurIPS 2019,,,,,Theory
Hybrid 8-bit Floating Point (HFP8) Training and Inference for Deep Neural Networks:fire:56,NeurIPS 2019,Uni,,PTQ,C/O/N,
MetaQuant: Learning to Quantize by Learning to Penetrate Non-differentiable Quantization[PyTorch]:star:48,NeurIPS 2019,B,,QAT,C,
Model Compression with Adversarial Robustness: A Unified Optimization Framework,NeurIPS 2019,Uni,,,C,
Normalization Helps Training of Quantized LSTM,NeurIPS 2019,B/T/Uni,,,C/N,
Post-training 4-bit quantization of convolution networks for rapid-deployment:fire:161[PyTorch]:star:163,NeurIPS 2019,T/Uni,,PTQ,C,
"Qsparse-local-SGD: Distributed SGD with Quantization, Sparsification and Local Computations:fire:126",NeurIPS 2019,B,Randomized/Sign,,C,
Using Neuroevolved Binary Neural Networks to solve reinforcement learning environments,APCCAS 2019,,,,,
BinaryDenseNet: Developing an architecture for binary neural networks,ICCVW 2019,,,,,
Low-bit quantization of neural networks for efficient inference:fire:112,ICCV 2019,,,,,
Bayesian Optimized 1-Bit CNNs,ICCV 2019,B,,,C,
Data-Free Quantization Through Weight Equalization and Bias Correction:fire:135,ICCV 2019,Uni,Linear,PTQ,C,
Differentiable Soft Quantization: Bridging Full-Precision and Low-Bit Neural Networks:fire:129,ICCV 2019,B/T/Uni,,,C,
HAWQ: Hessian AWare Quantization of Neural Networks with Mixed-Precision:fire:155,ICCV 2019,MP,Linear,QAT,C,
Proximal Mean-Field for Neural Network Quantization,ICCV 2019,B,,,C,
Unsupervised Neural Quantization for Compressed-Domain Similarity Search[PyTorch]:star:28,ICCV 2019,MP,LQ,,Image Retrieval,
Training Accurate Binary Neural Networks from Scratch,ICIP 2019,,,,,
Binarized Depthwise Separable Neural Network for Object Tracking in FPGA,GLSVLSI 2019,,,,,
Flow++: Improving Flow-Based Generative Models with Variational Dequantization and Architecture Design:fire:169[PyTorch]:star:152,ICML 2019,,,,,
Improving Neural Network Quantization without Retraining using Outlier Channel Splitting:fire:114[PyTorch]:star:80,ICML 2019,Uni,Linear,PTQ,C,
Lossless or Quantized Boosting with Integer Arithmetic,ICML 2019,,,,C,
SWALP : Stochastic Weight Averaging in Low-Precision Training[PyTorch]:star:52,ICML 2019,Uni,Linear,,C,
PXNOR: Perturbative Binary Neural Network,ROEDUNET 2019,,,,,
Learning channel-wise interactionsfor binary convolutional neural networks,CVPR 2019,,,,,
Circulant binary convolutional networks: Enhancing the performance of 1-bit dcnns with circulant back propagation,CVPR 2019,,,,,
Fighting quantization bias with bias,CVPR 2019,,,,,
A Main/Subsidiary Network Framework for Simplifying Binary Neural Networks,CVPR 2019,B,,,C,
Binary Ensemble Neural Network: More Bits per Network or More Networks per Bit?:fire:84,CVPR 2019,B,,,C,
Compressing Unknown Images With Product Quantizer for Efficient Zero-Shot Classification,CVPR 2019,MP,PQ/LQ,,C/ZSL/GZSL,
Deep Spherical Quantization for Image Search,CVPR 2019,,,,Image Search,
End-To-End Supervised Product Quantization for Image Search and Retrieval,CVPR 2019,,PQ,,Image Search/Retrieval,
Fully Quantized Network for Object Detection:fire:59,CVPR 2019,,,,,
HAQ: Hardware-Aware Automated Quantization With Mixed Precision:fire:305[PyTorch]:star:243,CVPR 2019,MP,Linear/K,QAT,C,
Learning Channel-Wise Interactions for Binary Convolutional Neural Networks,CVPR 2019,B,,,C,
Learning to Quantize Deep Networks by Optimizing Quantization Intervals With Task Loss:fire:168,CVPR 2019,T/Uni,LQ,,C,
Quantization Networks:fire:84,CVPR 2019,Uni,,QAT,C/O,
SeerNet: Predicting Convolutional Neural Network Feature-Map Sparsity Through Low-Bit Quantization,CVPR 2019,T/Uni,Linear,,C,
Simultaneously Optimizing Weight and Quantizer of Ternary Neural Network Using Truncated Gaussian Approximation,CVPR 2019,T,LQ,QAT,C,
Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation:fire:91,CVPR 2019,B,,,C/S,
Variational information distillation for knowledge transfer:fire:188,CVPR 2019,,,,,
Proxylessnas: Direct neural architecture search on target task and hardware,ICLR 2019,,,,,
Accumulation Bit-Width Scaling For Ultra-Low Precision Training Of Deep Networks,ICLR 2019,MP,,QAT,C,Theory
Analysis of Quantized Models,ICLR 2019,,,,,Theory
Defensive Quantization: When Efficiency Meets Robustness:fire:81,ICLR 2019,,,,C,
Double Viterbi: Weight Encoding for High Compression Ratio and Fast On-Chip Reconstruction for Deep Neural Network,ICLR 2019,B/T/Uni,,,C,CoDesign
From Hard to Soft: Understanding Deep Network Nonlinearities via Vector Quantization and Statistical Inference,ICLR 2019,MP,PQ,QAT,N,
Learning Recurrent Binary/Ternary Weights[PyTorch]:star:13,ICLR 2019,B/T,,QAT,C/N,
On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks,ICLR 2019,,,,C,Theory
Per-Tensor Fixed-Point Quantization of the Back-Propagation Algorithm,ICLR 2019,,,,C,
ProxQuant: Quantized Neural Networks via Proximal Operators:fire:56[PyTorch]:star:17,ICLR 2019,B,,QAT,C,
Relaxed Quantization for Discretized Neural Networks:fire:74,ICLR 2019,,LQ,,C,Stochastic
Understanding Straight-Through Estimator in Training Activation Quantized Neural Nets:fire:81,ICLR 2019,,,,C,Theory
Towards Fast and Energy-Efficient Binarized Neural Network Inference on FPGA,FPGA 2019,,,,,
Deep Neural Network Quantization via Layer-Wise Optimization using Limited Training Data[PyTorch]:star:30,AAAI 2019,Uni,,,C,
Efficient Quantization for Compact Neural Networks with Binary Weights and Low Bitwidth Activations,AAAI 2019,B,Linear/Log,QAT,C,
"Multi-Precision Quantized Neural Networks via Encoding Decomposition of {-1,+1}",AAAI 2019,MP,,,C/O,
